Exercise_Name,muscle_gp,Equipment,Rating,Difficulty
Rickshaw Carry,Forearms,Other,5,Average
Weighted pull-up,Lats,Other,1,Average
Palms-down wrist curl over bench,Forearms,Barbell,9,Average
Atlas Stones,Lower Back,Other,6,Average
Dumbbell front raise to lateral raise,Shoulders,Dumbbell,9,Average
Incline Hammer Curls,Biceps,Dumbbell,5,Average
Straight-bar wrist roll-up,Forearms,Other,2,Average
Clean and press,Shoulders,Barbell,1,Average
Triceps dip,Triceps,Body Only,7,Average
Dumbbell farmer's walk,Forearms,Other,4,Average
Barbell Full Squat,Quadriceps,Barbell,7,Average
Barbell Deadlift,Hamstrings,Barbell,10,Average
Single-arm palm-in dumbbell shoulder press,Shoulders,Dumbbell,7,Average
Romanian Deadlift With Dumbbells,Hamstrings,Dumbbell,2,Average
Clean Deadlift,Hamstrings,Barbell,3,Average
Bottoms Up,Abdominals,Body Only,3,Average
Barbell back squat to box,Quadriceps,Barbell,3,Average
Clean and jerk,Shoulders,Barbell,8,Average
Push-press,Quadriceps,Barbell,7,Average
Military press,Shoulders,Barbell,7,Average
Power snatch-,Quadriceps,Barbell,5,Average
Sumo deadlift,Hamstrings,Barbell,5,Average
Dumbbell V-Sit Cross Jab,Abdominals,Dumbbell,4,Average
Standing palms-in shoulder press,Shoulders,Dumbbell,5,Average
Standing cable low-to-high twist,Abdominals,Cable,6,Average
Decline EZ-bar skullcrusher,Triceps,E-Z Curl Bar,3,Average
Seated finger curl,Forearms,Barbell,5,Average
Dumbbell spell caster,Abdominals,Dumbbell,2,Average
Dumbbell floor press,Triceps,Dumbbell,2,Average
Lying Face Down Plate Neck Resistance,Neck,Other,2,Average
Decline reverse crunch,Abdominals,Other,7,Average
Jumping rope,Quadriceps,Body Only,3,Average
Seated barbell shoulder press,Shoulders,Barbell,3,Average
EZ-bar spider curl,Biceps,Barbell,5,Average
Smith Machine Calf Raise,Calves,Machine,10,Average
Power Snatch,Hamstrings,Barbell,7,Average
Pushups,Chest,Body Only,9,Average
Barbell walking lunge,Quadriceps,Barbell,6,Average
Spider crawl,Abdominals,Body Only,9,Average
Single Leg Push-off,Quadriceps,Other,4,Average
Hip Circles (Prone),Abductors,,5,Average
Reverse-grip bent-over row,Middle Back,Barbell,9,Average
Back extension,Lower Back,Body Only,1,Average
Cocoons,Abdominals,Body Only,10,Average
Cross-Body Crunch,Abdominals,Body Only,8,Average
Dumbbell Flyes,Chest,Dumbbell,8,Average
Incline dumbbell bench press,Chest,Dumbbell,2,Average
Single-arm high-cable side bend,Abdominals,Cable,1,Average
Seated Dumbbell Press,Shoulders,Dumbbell,9,Average
Standing dumbbell shoulder press,Shoulders,Dumbbell,7,Average
EZ-Bar Curl,Biceps,E-Z Curl Bar,10,Average
Natural Glute Ham Raise,Hamstrings,Body Only,8,Average
Axle Deadlift,Lower Back,Other,9,Average
Zottman Curl,Biceps,Other,2,Average
Single-arm lateral raise,Shoulders,Dumbbell,3,Average
Leverage Shrug,Traps,Machine,2,Average
Cable V-bar push-down,Triceps,Cable,9,Average
Wrist Roller,Forearms,Other,7,Average
Stair climber,Quadriceps,Machine,7,Average
Kettlebell Pistol Squat,Quadriceps,Kettlebells,3,Average
Overhead dumbbell front raise,Shoulders,Dumbbell,9,Average
Biceps curl to shoulder press,Biceps,Dumbbell,10,Average
Barbell Hip Thrust,Glutes,Barbell,9,Average
Barbell Bench Press - Medium Grip,Chest,Barbell,8,Average
EZ-Bar Skullcrusher,Triceps,E-Z Curl Bar,5,Average
One-Arm Dumbbell Row,Middle Back,Dumbbell,2,Average
Decline Dumbbell Flyes,Chest,Dumbbell,3,Average
Single-arm incline rear delt raise,Shoulders,Dumbbell,6,Average
Kneeling cable oblique crunch,Abdominals,Cable,4,Average
Reverse Grip Triceps Pushdown,Triceps,Cable,3,Average
Box Squat with Bands,Quadriceps,Barbell,6,Average
Flexor Incline Dumbbell Curls,Biceps,Dumbbell,4,Average
Seated Palms-Down Barbell Wrist Curl,Forearms,Other,2,Average
Car driver,Shoulders,Other,9,Average
Alternating Deltoid Raise,Shoulders,Dumbbell,2,Average
Push-Ups - Close Triceps Position,Triceps,Body Only,8,Average
One-Arm Long Bar Row,Middle Back,Barbell,3,Average
Dumbbell suitcase crunch,Abdominals,Medicine Ball,4,Average
Plate Twist,Abdominals,Other,1,Average
Single-leg cable hip extension,Glutes,Cable,7,Average
Weighted Jump Squat,Quadriceps,Barbell,8,Average
Squat with Chains,Quadriceps,Barbell,5,Average
Gorilla Chin/Crunch,Abdominals,Body Only,3,Average
Weighted Crunches,Abdominals,Other,1,Average
Single-arm cable triceps extension,Triceps,Cable,10,Average
Barbell roll-out,Abdominals,Barbell,6,Average
Kneeling cable crunch,Abdominals,Cable,1,Average
Exercise Ball Pull-In,Abdominals,Exercise Ball,9,Average
Hanging leg raise,Abdominals,Body Only,2,Average
Dumbbell Goblet Squat,Quadriceps,Dumbbell,2,Average
Dumbbell squat,Quadriceps,Dumbbell,3,Average
Barbell front squat,Quadriceps,Barbell,9,Average
Close-grip pull-down,Lats,Cable,4,Average
Triceps Pushdown - Rope Attachment,Triceps,Cables,8,Average
Side-to-side box skip,Quadriceps,Body Only,1,Average
Wide-grip bench press,Chest,Barbell,1,Average
Close-grip EZ-bar curl,Biceps,Barbell,4,Average
T-Bar Row,Middle Back,Other,3,Average
Bent Over Two-Arm Long Bar Row,Middle Back,Barbell,7,Average
Muscle Up,Lats,Body Only,3,Average
Machine shoulder press,Shoulders,Machine,5,Average
Snatch Deadlift,Hamstrings,Barbell,5,Average
Front Plate Raise,Shoulders,Other,1,Average
Decline Close-Grip Bench To Skull Crusher,Triceps,Barbell,2,Average
Lying Leg Curls,Hamstrings,Machine,1,Average
Cross-body hammer curl,Biceps,Dumbbell,8,Average
Shotgun row,Lats,Cable,9,Average
Cable Crossover,Chest,Cable,3,Average
Barbell Incline Bench Press Medium-Grip,Chest,Barbell,2,Average
Incline Dumbbell Flyes,Chest,Dumbbell,5,Average
Seated Cable Rows,Middle Back,Cable,9,Average
Tricep Dumbbell Kickback,Triceps,Dumbbell,7,Average
Otis-Up,Abdominals,Other,1,Average
Exercise ball leg curl,Hamstrings,Exercise Ball,4,Average
Glute bridge,Glutes,Body Only,9,Average
Close-Grip Front Lat Pulldown,Lats,Cable,4,Average
Dip Machine,Triceps,Cable,2,Average
Incline dumbbell row,Middle Back,Dumbbell,3,Average
Dumbbell Lunges,Quadriceps,Dumbbell,9,Average
Elliptical trainer,Quadriceps,Machine,10,Average
Bodyweight squat,Quadriceps,Body Only,3,Average
Bent Over Two-Dumbbell Row With Palms In,Middle Back,Dumbbell,7,Average
Narrow-stance leg press,Quadriceps,Machine,5,Average
Standing Hip Circles,Abductors,Body Only,2,Average
Clam,Abductors,Other,9,Average
Narrow Stance Hack Squats,Quadriceps,Machine,9,Average
Seated Close-Grip Concentration Barbell Curl,Biceps,Barbell,9,Average
Dumbbell Lying Pronation,Forearms,Machine,2,Average
Drop Push,Chest,Other,5,Average
Close-grip EZ-bar bench press,Chest,E-Z Curl Bar,8,Average
Incline Push-Up,Chest,Body Only,3,Average
Hyperextensions With No Hyperextension Bench,Lower Back,Body Only,3,Average
Dumbbell front raise,Shoulders,Dumbbell,1,Average
Parallel Bar Dip,Triceps,Body Only,5,Average
Double Leg Butt Kick,Quadriceps,Other,8,Average
Broad jump,Quadriceps,Body Only,8,Average
Machine Squat,Quadriceps,Machine,2,Average
V-bar pull-up,Lats,Machine,4,Average
Ring dip,Triceps,Body Only,6,Average
Standing One-Arm Cable Curl,Biceps,Cable,7,Average
Double-arm triceps kick-back,Triceps,Dumbbell,10,Average
Standing dumbbell shrug,Traps,Dumbbell,8,Average
Calf Press On The Leg Press Machine,Calves,Machine,3,Average
Barbell step-up,Quadriceps,Barbell,6,Average
Feet-elevated bench dip,Triceps,Body Only,7,Average
Bent Over Barbell Row,Middle Back,Barbell,7,Average
Dumbbell Alternate Bicep Curl,Biceps,Dumbbell,10,Average
Handstand push-up,Shoulders,Body Only,8,Average
Single-arm dumbbell preacher curl,Biceps,Dumbbell,5,Average
Step-up with knee raise,Glutes,Body Only,3,Average
Smith machine back squat,Quadriceps,Machine,6,Average
Incline dumbbell front raise,Shoulders,Dumbbell,4,Average
Standing dumbbell upright row,Traps,Dumbbell,8,Average
Incline cable chest press,Chest,Cable,1,Average
Rope climb,Lats,Body Only,7,Average
Trail Running/Walking,Quadriceps,Body Only,7,Average
Cable Chest Press,Chest,Cable,5,Average
Standing concentration curl,Biceps,Dumbbell,3,Average
Wide-Grip Rear Pull-Up,Lats,Body Only,2,Average
Kettlebell pass-through lunge,Hamstrings,Kettlebells,5,Average
Hands-elevated push-up,Chest,Body Only,8,Average
Straight-arm rope pull-down,Lats,Cable,5,Average
Hang Snatch,Hamstrings,Barbell,9,Average
Kettlebell sumo deadlift high pull,Traps,Kettlebells,10,Average
Calf-Machine Shoulder Shrug,Traps,Machine,1,Average
Bench Press - Powerlifting,Triceps,Barbell,4,Average
Rocking Standing Calf Raise,Calves,Barbell,4,Average
Behind-the-head skullcrusher,Triceps,Barbell,5,Average
Dumbbell side bend,Abdominals,Dumbbell,5,Average
Lat pull-down,Lats,Cable,4,Average
Side Lateral Raise,Shoulders,Dumbbell,3,Average
Alternating incline dumbbell biceps curl,Biceps,Dumbbell,9,Average
Kettlebell One-Legged Deadlift,Hamstrings,Kettlebells,3,Average
Decline Push-Up,Chest,Body Only,6,Average
Low cable overhead triceps extension,Triceps,Cable,1,Average
Single-arm cable cross-over,Chest,Cable,3,Average
Seated dumbbell biceps curl,Biceps,Dumbbell,6,Average
Battle ropes,Shoulders,Other,10,Average
Dead bug reach,Abdominals,Body Only,7,Average
Rope Crunch,Abdominals,Cable,1,Average
Single-Arm Push-Up,Chest,Body Only,6,Average
Band Hip Adductions,Adductors,Bands,9,Average
Single-arm kettlebell clean,Hamstrings,Kettlebells,5,Average
Preacher Hammer Dumbbell Curl,Biceps,Dumbbell,4,Average
Alternating Kettlebell Press,Shoulders,Kettlebells,8,Average
Standing One-Arm Dumbbell Curl Over Incline Bench,Biceps,,5,Average
Kneeling Squat,Glutes,Barbell,8,Average
Single-arm kettlebell snatch,Shoulders,Kettlebells,9,Average
Close-grip barbell curl,Biceps,Barbell,8,Average
Box jump,Hamstrings,Other,5,Average
Standing cable crunch,Abdominals,Cable,4,Average
Standing barbell overhead triceps extension,Triceps,Barbell,5,Average
Crunch - Hands Overhead,Abdominals,Body Only,3,Average
Cable Internal Rotation,Shoulders,Cable,3,Average
Leg Extensions,Quadriceps,Machine,8,Average
Close push-up to wide push-up,Chest,Body Only,4,Average
Single-arm dumbbell triceps extension,Triceps,Dumbbell,10,Average
Butterfly,Chest,Machine,1,Average
V-up,Abdominals,Body Only,6,Average
Reverse-grip lat pull-down,Lats,Machine,8,Average
Standing Biceps Cable Curl,Biceps,Cable,7,Average
Single-arm cable seated row,Middle Back,Cable,10,Average
Single-arm kettlebell row,Chest,Dumbbell,6,Average
Scissors Jump,Quadriceps,Body Only,2,Average
Rack Pull with Bands,Lower Back,Barbell,10,Average
Decline oblique crunch,Abdominals,,7,Average
Clean,Hamstrings,Barbell,10,Average
